patient,obs,health.status,group,f_000001,f_000002,f_000003,f_000004,f_000005,f_000006,f_000007,f_000008,f_000009,f_000010,f_000011,f_000012,f_000013
ch1stziv1d_1,1,week12,none,0.001803114,0.002077907,0.002082697,0.001959026,0.001908782,0.001996539,0.002174225,0.002336531,0.002330617,0.002090614,0.001741474,0.001475647,0.001372518
ch1stziv1c_1,1,week12,none,0.000125732,0.000146512,0.000180884,0.000217102,0.000249377,0.000294805,0.00035988,0.000412033,0.000424465,0.000419932,0.000430583,0.000451667,0.00046667
ch1stziv1b_1,1,week12,none,0.000100347,0.000106787,0.000123825,0.000153972,0.000214745,0.000311656,0.00041056,0.000466743,0.000475242,0.000470671,0.000487963,0.000537105,0.000605596
ch1stziv1a_1,1,week12,none,0.000187086,0.000196537,0.000217525,0.000259742,0.000324892,0.000390969,0.000430253,0.000445079,0.000466058,0.000518538,0.000609792,0.000724797,0.000828004
ch1stziii2a_1,1,week8,none,0.063206934,0.047079007,0.037569132,0.029206309,0.022095984,0.018766585,0.019251345,0.02111143,0.022590902,0.022847748,0.021334142,0.018506008,0.015633363
ch1stziii1c_1,1,week8,none,0.000985286,0.001137077,0.001141159,0.001027354,0.00091455,0.000876104,0.00090517,0.000967382,0.001037084,0.001092976,0.001108746,0.001078772,0.001039332
ch1stziii1b_1,1,week8,none,0.000743234,0.000933861,0.001122892,0.001204494,0.001163238,0.001093488,0.00106147,0.00106105,0.001114428,0.001262395,0.001443515,0.001529467,0.001472063
ch1stziii1a_1,1,week8,none,0.001525491,0.001730245,0.001856289,0.001881478,0.001848832,0.001827411,0.001860486,0.001939324,0.002028931,0.002090335,0.002103106,0.002085287,0.002065556
ch1stzi2a_1,1,week4,none,0.000210419,0.000242374,0.000288757,0.000341381,0.000408528,0.00049864,0.000593061,0.000663142,0.000720897,0.000803519,0.000913054,0.001022283,0.001108364
ch1stzi1a_1,1,week4,none,0.002964835,0.003821487,0.004295575,0.004296413,0.004034834,0.00372522,0.003431912,0.003096718,0.002666857,0.002193812,0.001805655,0.001601916,0.00155873
ch2stzi2a_1,1,week4,none,0.000381902,0.000458297,0.000568984,0.000717963,0.000927435,0.00124977,0.001676609,0.002064151,0.002285617,0.00238832,0.002499516,0.002656477,0.002802987
ch2stzi1a_1,1,week4,none,0.002539932,0.003214051,0.003595929,0.003618891,0.003428969,0.00317599,0.002911741,0.002602362,0.002221831,0.001823263,0.001507919,0.001343278,0.001298392
